,AK,CF,CH,EC,GK,NN,PB,SG,TL
AK,0.23246145965123516,0.2559837656713389,0.24694156062702605,0.26057498960422276,0.2578737080429065,0.2577220326586698,0.24900485250147814,0.24799086924583308,0.24581984033667714
CF,0.2559837656713389,0.2341922623435061,0.25169085792927476,0.25598902856533723,0.25199583813048426,0.2521379881774821,0.25279056442779635,0.254187610468062,0.2531974156176523
CH,0.24694156062702607,0.2516908579292747,0.22522895283143132,0.2569521665282689,0.25383708899938784,0.25369219194924236,0.2459780156391383,0.24553540655381845,0.24312781036385586
EC,0.2605749896042228,0.25598902856533723,0.2569521665282689,0.21842959652349786,0.25760634623724943,0.2560641337071026,0.2572135349660548,0.2591728781620091,0.2579365409102708
GK,0.2578737080429065,0.2519958381304842,0.25383708899938784,0.25760634623724954,0.23691810089395987,0.2541463758552816,0.25460523395962364,0.25619831173661134,0.2550368783291147
NN,0.2577220326586698,0.2521379881774821,0.25369219194924236,0.2560641337071027,0.25414637585528166,0.23588737720886888,0.25413607430257207,0.255826120812831,0.2547630139241903
PB,0.24900485250147814,0.25279056442779635,0.2459780156391383,0.2572135349660548,0.25460523395962364,0.2541360743025721,0.22999696612007126,0.24662359261026387,0.24517112709967545
SG,0.24799086924583308,0.25418761046806204,0.24553540655381845,0.2591728781620091,0.25619831173661134,0.255826120812831,0.24662359261026381,0.22949627675392584,0.24274881345918342
TL,0.24581984033667714,0.25319741561765235,0.24312781036385583,0.25793654091027085,0.2550368783291147,0.25476301392419026,0.24517112709967545,0.24274881345918342,0.22542705020061515
