	vcmax	jmax	dark_resp	light_comp_point	pgmax	quantum_yield
vcmax	1.0	0.8048726399444898	0.3796453115096285	0.09183959348846739	0.8415485154700482	0.011947210446767206
jmax	0.8048726399444898	1.0	0.4490457443754771	0.18724264029350632	0.8482032409343789	0.35800161375876105
dark_resp	0.3796453115096285	0.4490457443754771	1.0	0.41588918479047915	0.3399569975140947	-0.12370743577032071
light_comp_point	0.09183959348846739	0.18724264029350632	0.41588918479047915	1.0	0.35965404277656193	0.18118286436973022
pgmax	0.8415485154700482	0.8482032409343789	0.3399569975140947	0.35965404277656193	1.0	0.20695965177160291
quantum_yield	0.011947210446767206	0.35800161375876105	-0.12370743577032071	0.18118286436973022	0.20695965177160291	1.0
